title	year	director	cast	genre	notes
Who's Minding the Mint?	1967	Howard Morris	"Jim Hutton, Dorothy Provine, Milton Berle"	Comedy	Columbia
Who's That Knocking at My Door	1967	Martin Scorsese	Harvey Keitel	Drama	
Woman Times Seven	1967	Vittorio De Sica	"Shirley MacLaine, Peter Sellers, Michael Caine"	Anthology	7 stories
5 Card Stud	1968	Henry Hathaway	"Dean Martin, Robert Mitchum, Inger Stevens"	"Western, Mystery"	Paramount
2001: A Space Odyssey	1968	Stanley Kubrick	"Keir Dullea, Gary Lockwood, William Sylvester"	Science fiction	4 Oscar nominations
Anzio	1968	"Edward Dmytryk, Duilio Coletti"	"Robert Mitchum, Robert Ryan, Peter Falk"	War	Columbia
Assignment to Kill	1968	Sheldon Reynolds	"Patrick O'Neal, Joan Hackett, John Gielgud"	Drama	
The Astro-Zombies	1968	Ted V. Mikels	"John Carradine, Wendell Corey, Tura Satana"	Science fiction	
Bandolero!	1968	Andrew V. McLaglen	"James Stewart, Dean Martin, Raquel Welch"	Western	20th Century Fox
The Biggest Bundle of Them All	1968	Ken Annakin	"Raquel Welch, Robert Wagner, Edward G. Robinson"	"Comedy, Crime"	MGM
Blackbeard's Ghost	1968	Robert Stevenson	"Peter Ustinov, Suzanne Pleshette, Dean Jones"	"Comedy, Fantasy"	Disney
The Boston Strangler	1968	Richard Fleischer	"Tony Curtis, Henry Fonda, George Kennedy"	True Crime	20th Century Fox
The Brotherhood	1968	Martin Ritt	"Kirk Douglas, Alex Cord, Luther Adler"	Crime drama	Paramount
Bullitt	1968	Peter Yates	"Steve McQueen, Robert Vaughn, Jacqueline Bisset"	Crime drama	Warner Bros.
"Buona Sera, Mrs. Campbell"	1968	Melvin Frank	"Gina Lollobrigida, Shelley Winters, Peter Lawford"	Comedy	inspired Mamma Mia![citation needed]
Bye Bye Braverman	1968	Sidney Lumet	"George Segal, Jack Warden, Alan King"	Comedy	Warner Bros.
Candy	1968	Christian Marquand	"Marlon Brando, Richard Burton, Charles Aznavour, Walter Matthau, James Coburn, Ringo Starr"	Comedy	script by Buck Henry
Charly	1968	Ralph Nelson	"Cliff Robertson, Claire Bloom"	Drama	Oscar for Robertson
Coogan's Bluff	1968	Don Siegel	"Clint Eastwood, Lee J. Cobb, Susan Clark"	Crime drama	Universal
Countdown	1968	Robert Altman	"James Caan, Robert Duvall"	Sci-fi	Warner Bros.
Counterpoint	1968	Ralph Nelson	"Charlton Heston, Maximilian Schell"	War	Universal
Day of the Evil Gun	1968	Jerry Thorpe	"Glenn Ford, Arthur Kennedy, Dean Jagger"	Western	MGM
The Detective	1968	Gordon Douglas	"Frank Sinatra, Lee Remick, Jacqueline Bisset"	Crime drama	20th Century Fox; based on Roderick Thorp novel
The Devil's Brigade	1968	Andrew V. McLaglen	"William Holden, Cliff Robertson, Vince Edwards"	War	United Artists; on 1st Special Service Force
Faces	1968	John Cassavetes	"Gena Rowlands, John Marley, Seymour Cassel"	Drama	2 Oscar nominations
"Finders Keepers, Lovers Weepers!"	1968	Russ Meyer	"Anne Chapman, Lavelle Roby"	Drama	
Finian's Rainbow	1968	Francis Ford Coppola	"Fred Astaire, Petula Clark, Keenan Wynn, Tommy Steele, Don Francks, Al Freeman, Jr."	Musical	based on stage musical; 2 Oscar nominations
Firecreek	1968	Vincent McEveety	"James Stewart, Henry Fonda, Inger Stevens, Jacqueline Scott, Gary Lockwood"	Western	Warner Bros.; first film for McEveety
Flesh	1968	Paul Morrissey	Patti D'Arbanville	Comedy	produced by Andy Warhol
For Love of Ivy	1968	Daniel Mann	"Sidney Poitier, Abbey Lincoln, Beau Bridges"	Romantic comedy	2 Golden Globe nominations
